price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,ceiling_height,number_of_rooms,CAR,EAR,NAR,NEAR,NWAR,SAR,SEAR,SWAR,WAR
24018796.0,9.0,40.3,14.9,9.0,15.0,2022.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144508000.0,10.0,158.8,48.6,5.0,6.0,2021.0,3.85,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18065482.0,27.0,58.6,25.6,23.0,23.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16105292.0,6.0,49.59,44.6,20.0,22.0,2022.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13100000.0,20.0,50.0,31.0,9.0,21.0,2024.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15471700.0,12.0,47.9,34.5,4.0,21.0,2020.0,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38352000.0,6.0,75.2,51.8,33.0,41.0,2021.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37656492.0,25.0,75.4,33.3,3.0,11.0,2024.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22224665.0,30.0,52.9,20.9,21.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30086103.0,7.0,61.2,29.8,26.0,40.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49000000.0,8.0,77.4,27.4,12.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52040000.0,27.0,92.1,30.3,11.0,13.0,2023.0,3.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29909640.0,19.0,66.8,30.3,20.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19418339.0,6.0,64.54,43.9,22.0,22.0,2022.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47550000.0,8.0,75.0,26.6,13.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12900000.0,14.0,59.6,29.7,7.0,14.0,2024.0,2.75,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51142400.0,7.0,77.9,30.4,14.0,15.0,2023.0,3.23,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19748103.0,5.0,62.3,29.3,2.0,23.0,2023.0,2.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29412746.0,4.0,67.14,30.2,27.0,27.0,2023.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18211840.0,12.0,51.2,23.7,18.0,21.0,2023.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53000000.0,27.0,92.0,30.3,12.0,13.0,2023.0,3.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45830000.0,15.0,68.7,25.1,12.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38220240.0,16.0,65.2,35.5,23.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37235850.0,13.0,75.3,35.8,24.0,32.0,2021.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
